x_m,,,,,,,,,t_avg,
0,5.47,0,1.91,0,2.73,0,1.23,0,0,
5,5.77,0.3,2.14,0.23,2.91,0.18,1.49,0.26,0.24,
10,6.13,0.66,2.45,0.54,3.23,0.5,1.71,0.48,0.55,
15,6.37,0.9,2.79,0.88,3.53,0.8,2.05,0.82,0.85,
20,6.53,1.06,3.03,1.12,3.91,1.18,2.31,1.08,1.11,

